spec_name,seed,horizon,num_actions,H_hat,kappa_uniform,kappa_piG,J_uniform,J_piG,J_star
T3_A2,272133842,3,2,3.0,0.5483021218733435,0.0776774791172477,-4.845507991996129,-3.9664701357249976,-3.41780450631358
T3_A2,1015333255,3,2,1.0,1.1449069824749054,0.016626082138702175,-4.402504612999067,-2.4703895649194125,-1.6709637281815377
T3_A2,1077298781,3,2,3.0,0.2624463352761203,0.011244048506001547,-2.635006914835234,-2.1472211587038745,-1.5533637298879301
T3_A2,3383627625,3,2,2.0,0.8889556512481527,0.032257180930957585,-3.1737268016200093,-1.5638469262798576,-0.8088891854949587
T3_A2,1087800620,3,2,2.0,1.0018957968344329,0.15209765599439323,-4.882525326666763,-3.341023220582741,-2.689753203503254
T3_A2,1323882,3,2,1.0,2.65877351705151,0.015613815832807435,-5.322330359715406,-1.4677222556261647,-1.0640045781265854
T3_A2,166436861,3,2,2.0,0.9716942395959196,0.02114370252168619,-4.15431099584698,-2.677271465353797,-2.134579012351052
T3_A2,3116956866,3,2,1.0,1.135176031174627,0.01190115825356995,-3.40856505475876,-1.6896961465401465,-1.0085327518008378
T3_A2,4110647490,3,2,1.0,0.9462375842198443,0.01796455265486843,-4.692840797246627,-3.213463518110533,-2.579276995339001
T3_A2,2657582573,3,2,1.0,0.5212419886626937,0.005013365042432671,-3.7184960625019325,-2.7811545661170993,-1.7830040797042326
T4_A2,4206763307,4,2,2.0,0.8886488881955883,0.026442290344043447,-4.232692827906708,-2.7569555520134057,-1.8240431083841406
T4_A2,347136604,4,2,2.0,1.5471745494136904,0.05948535895987633,-4.333211901690951,-2.013583357824264,-1.037683711120709
T4_A2,1232261001,4,2,2.0,1.3978385048686586,0.05991981250275699,-4.513184227615698,-2.4111111785649197,-1.5658187059241604
T4_A2,1728457155,4,2,4.0,0.8800431374725486,0.025198706997637037,-5.059396754195367,-3.5414091191669903,-2.5621432973621094
T4_A2,983566164,4,2,4.0,0.9609751344554096,0.047453346080739756,-4.142370416495259,-2.644211495984817,-1.9157604536713264
T4_A2,2582517476,4,2,2.0,1.3305317697991894,0.09599209700513797,-4.991288672685127,-2.7532034506223924,-1.2442391455549184
T4_A2,3832758438,4,2,2.0,1.4847204066154185,0.007994554629005415,-5.031339511346642,-2.6866545866049245,-1.8588733244841946
T4_A2,623200764,4,2,2.0,0.7385787166284544,0.047148309265207154,-4.853372916451542,-3.5796089469859425,-2.6835567430133174
T4_A2,1873221527,4,2,2.0,2.2538316288405222,0.08943916224310161,-6.62903010305295,-3.3991842407588853,-2.7587122315893056
T4_A2,495290062,4,2,1.0,1.8305992853696136,0.013260681732444648,-4.473197464511471,-1.644388750885188,-0.9013157982031953
T4_A2,209939332,4,2,2.0,1.3807586237486644,0.018203621520815356,-4.974936962109775,-2.5586641644741586,-1.6950900039525423
T4_A2,1404191028,4,2,3.0,0.85154037831008,0.07522282775759509,-4.430101988295649,-2.9666029182800893,-1.8221491566738381
T4_A2,4110326245,4,2,3.0,0.8655363735949486,0.07800221842456556,-5.745794741682558,-4.207423810622976,-2.7855886867305797
T4_A2,508273667,4,2,3.0,1.0118056035213872,0.045909782384185485,-4.928356512763803,-3.2332389050402397,-2.166245458798866
T4_A2,4090077127,4,2,2.0,1.1555149960928803,0.0289944234867172,-5.200412503094116,-3.240137169758074,-2.1728983267498747
T4_A2,1618445426,4,2,1.0,1.3407018753484623,0.047930196089332744,-5.155695321426165,-3.039456696471147,-2.006192552411937
T4_A2,279396865,4,2,4.0,1.4699755330291946,0.06698105142714898,-6.405357274459693,-4.045173101120521,-2.927197707011824
T4_A2,2059545239,4,2,2.0,2.160644026827052,0.016454275545576658,-8.771647431817792,-5.432766231197733,-4.493135274782441
T4_A2,1664594612,4,2,3.0,1.2790416580845425,0.04402867834891873,-5.298667201401495,-3.395878456531588,-2.7408674145853316
T4_A2,1122616902,4,2,2.0,0.40854985100313945,0.022986556669120264,-3.6226597896476753,-2.9678262435191693,-2.248064810864226
T4_A3,2163987359,4,3,2.6309297535714573,1.6856052286797676,0.023127539247975983,-5.543941030775405,-2.8222416567135222,-1.1430049814929237
T4_A3,3843878652,4,3,3.0,1.868190251880503,0.03701677653780106,-5.047651475046647,-2.153657500208043,-0.8767081724682195
T4_A3,4100047885,4,3,3.0,1.7478168133221774,0.0356126125198247,-5.0134683993962605,-2.0379890581489577,-0.6948861310010783
T4_A3,3695451866,4,3,2.0,1.4852048549099848,0.07246415681024948,-4.744911981203797,-2.214989263311965,-0.8827975733344547
T4_A3,2995441214,4,3,4.8927892607143715,1.3715218414310817,0.07759696715031467,-4.809992709038252,-2.564295857066718,-1.1320672673328356
T4_A3,1380294351,4,3,3.0,1.5112553201556296,0.04666387114845328,-4.863736507963304,-2.4276576889861463,-0.9944812843488177
T4_A3,2493902411,4,3,3.0,1.3702509654514927,0.03809694171340243,-5.364258422471811,-2.9314862990158788,-1.3291961484747916
T4_A3,1360966080,4,3,2.0,1.754991900360272,0.044352548546220075,-4.976060525025051,-2.2099365118102976,-0.9921732931792278
T4_A3,4209424190,4,3,2.0,1.1547382765771208,0.059524578922330935,-4.977010464439287,-2.92729607343027,-1.3092116127875766
T4_A3,1284770779,4,3,3.0,1.1499292915650186,0.04039640502349954,-4.073214575110287,-2.2248444255428317,-0.7269280259028796
T4_A3,2957041934,4,3,2.6309297535714573,1.376717755244455,0.021080833975542695,-4.803077353009563,-2.4758723597375334,-0.9621734620446465
T4_A3,765861349,4,3,3.0,1.1091014896680431,0.045253530633015515,-4.463265993667542,-2.544725143645066,-1.0291928462241753
T4_A3,1375601870,4,3,5.261859507142915,1.1598976609658715,0.03584210846029048,-4.25733055002074,-2.4096059593713983,-1.2239267153488542
T4_A3,1060218529,4,3,3.0,1.074642289345408,0.04206566747768253,-4.540788314989274,-2.7281165289948683,-1.4660569698388777
T4_A3,889921982,4,3,4.0,1.2505129075262424,0.05516180209948757,-4.685071826049844,-2.6681845919355593,-1.3418453244870885
T4_A3,275264908,4,3,3.0,1.4404253711130022,0.03546463078425085,-4.352076991901889,-1.9675288764476202,-0.4799822732663549
T4_A3,3795156111,4,3,2.0,1.4683169983639415,0.03445942740254499,-4.772300130910337,-2.2110831165456832,-0.7014036978112534
T4_A3,707760615,4,3,4.0,1.0820427385542923,0.02893710063165094,-4.5567545573569825,-2.7883104482318286,-1.3874358468190184
T4_A3,3996712912,4,3,4.0,1.2093421671211018,0.07872927809818157,-4.349826103095965,-2.2356806723977733,-0.8547080100704052
T4_A3,3900962819,4,3,4.8927892607143715,1.4234665563191111,0.049379224077036585,-4.704392227223855,-2.4550020312588146,-0.9919708778070055
T5_A2,1935377987,5,2,2.0,0.8648714153486947,0.039517472890555246,-4.793592702395153,-3.2224820829685554,-1.9382989706957354
T5_A2,3792765083,5,2,3.0,1.8854773224694727,0.06417768508366856,-6.935178616118297,-4.04274955504347,-3.051646845670815
T5_A2,1988523316,5,2,4.0,2.1537586249105605,0.28576286389378436,-7.273219273237813,-3.557809028209791,-1.881452638938072
T5_A2,981798049,5,2,3.0,0.8015072826455039,0.043114669880996194,-6.072403213108624,-4.718245033554492,-3.7081863190858706
T5_A2,3449724503,5,2,3.0,1.465296483847443,0.1875176290471797,-5.571246894802762,-3.073731744864509,-1.4329762439936617
T5_A2,1763713698,5,2,2.0,1.3653038052607018,0.038071000311061746,-5.66856301814175,-3.286375941655949,-1.9554246189544113
T5_A2,2604831258,5,2,4.0,1.4314972089248654,0.10188323566997295,-6.789985455168225,-4.490010388140315,-3.498934911923643
T5_A2,1918533031,5,2,3.0,1.4077471244463982,0.053768548841062004,-6.026476782342149,-3.680721944897012,-2.7359439477556338
T5_A2,240224476,5,2,3.0,1.7342163827222714,0.12410010834027574,-5.447202474153369,-2.598934292630399,-1.2075739620910213
T5_A2,3312632289,5,2,2.0,1.7826217286264918,0.06575297586496118,-5.556652558475659,-2.450928744462049,-1.0259691634951154
T5_A2,661215060,5,2,3.0,1.431207806774651,0.04483529610604881,-7.1555333186566825,-4.7150828818449035,-3.452694472106587
T5_A2,943105452,5,2,2.0,1.6228529709460822,0.037548103849210576,-5.496930238567312,-2.8937665331052953,-1.8863028122507355
T5_A2,2800419469,5,2,3.0,1.5503286878105564,0.0327256946460859,-5.309880579329995,-2.930303773545286,-1.8309757743412065
T5_A2,2961123529,5,2,2.0,3.6702789805495275,0.030681098061284683,-7.82067652498934,-2.757070071206553,-1.7930231607244789
T5_A2,3541852394,5,2,2.0,1.2748012552766717,0.0963097417351981,-6.330114041518644,-4.138544578312131,-2.670769833253607
T5_A2,3549952996,5,2,3.0,1.8049359009374633,0.030223934969884268,-5.770511417641904,-3.020904875708813,-2.091184426770268
T5_A2,2451525623,5,2,3.0,1.348264636948586,0.042595348638775794,-5.96244262519984,-3.639416989917761,-2.5532811380551212
T5_A2,3430362420,5,2,2.0,1.7795743765917034,0.03338944451597647,-6.151202799053202,-3.1626791362286473,-2.0195879764068065
T5_A2,4253630298,5,2,4.0,2.656281589726267,0.025758207587043593,-8.282798328813943,-4.639861314727581,-3.8013659099921657
T5_A2,2824765191,5,2,2.0,1.5881422340107805,0.06353998517240754,-6.583670966435136,-4.116461579662866,-3.222268413695798
T6_A2,2991032210,6,2,2.0,1.869190046426422,0.027397888644561767,-7.535406256629471,-4.5477225796233585,-3.227378531238658
T6_A2,1641262057,6,2,4.0,1.6666642389092883,0.0752247933188579,-6.502653743827939,-3.7776962915657064,-2.407387036927813
T6_A2,3571877218,6,2,3.0,1.402199869835196,0.08666263683156383,-5.524937184625913,-3.260793729661506,-2.095325010344011
T6_A2,2352564299,6,2,3.0,1.7652651177706093,0.04853777152660796,-6.569277747173498,-3.7047160895820324,-2.2227828101717964
T6_A2,1677727288,6,2,4.0,1.3127380926328749,0.10745587154616247,-6.476170526668386,-4.246500444078469,-3.0866602945425856
