spec_name,seed,horizon,num_actions,H_hat,kappa_uniform,kappa_piG,J_uniform,J_piG,J_star
T4_A2,508273667,4,2,4.0,1.0118056035213878,0.04590978238418572,2.4499860255856794,3.0396409576871943,3.662561568295382
T4_A2,4090077127,4,2,4.0,1.1555149960928779,0.028994423486718213,2.388828712955485,3.0108269126742933,3.5061522425534006
T4_A2,1618445426,4,2,5.0,1.3407018753484579,0.04793019608933265,2.399628696272016,3.0111783520708326,3.500527557452865
T4_A2,279396865,4,2,8.0,1.4699755330291944,0.06698105142714886,2.0311924850833076,2.708301356390288,3.1650587210321475
T4_A2,2059545239,4,2,5.0,2.160644018950553,0.016454275544394204,1.8846797978719132,2.581403655035231,2.8804678251946276
T4_A2,1122616902,4,2,6.0,0.40854985100314073,0.022986556669119675,2.9447523042231087,3.163521321094358,3.599635728393297
T4_A2,1690439037,4,2,5.0,0.7444228983675386,0.07010972104664685,3.1457128598086035,3.522562737699348,3.883744216396881
T4_A3,2163987359,4,3,5.785578521428744,1.685604449280392,0.02312753924331486,2.4092688464580654,3.2132468048599256,4.0126838243343395
T4_A3,3843878652,4,3,6.154648767857287,1.8681902322820938,0.03701677653750641,2.6051930028084715,3.5368391455627313,4.2237229724973435
T4_A3,4100047885,4,3,5.154648767857287,1.7478168103481357,0.03561261251942201,2.5021767114087545,3.625859534549775,4.386919905349865
T4_A3,3695451866,4,3,9.047438028571658,1.48520485362979,0.07246415681008547,2.553750895976409,3.5410737873646556,4.251194772068528
T4_A3,2995441214,4,3,6.154648767857287,1.3715218414310781,0.07759696715031725,2.549080612577538,3.2674665060061163,4.044990854289364
T4_A3,1380294351,4,3,5.154648767857287,1.5112553201556238,0.046663871148454224,2.5958964572472407,3.3573768643764845,4.1170806607340875
T4_A3,2493902411,4,3,4.154648767857287,1.3702509654514914,0.03809694171339798,2.3472787230218377,3.1531914455560677,3.8978849588530133
T4_A3,1360966080,4,3,4.154648767857287,1.7549918990127602,0.04435254854567516,2.5800994037696094,3.4500372390884224,4.172991667010518
T4_A3,4209424190,4,3,5.785578521428744,1.1547382765771272,0.0595245789223336,2.493232876311913,3.195894335546497,3.8882259695285333
T4_A3,1284770779,4,3,4.785578521428744,1.1499292823205618,0.04039640502300692,2.7630259299374345,3.466835313491667,4.328555460056843
T4_A3,2746115055,4,3,7.047438028571659,1.117051301165627,0.04085598438156584,2.79254972391571,3.449108168678229,4.216278359301167
T4_A3,2957041934,4,3,5.416508275000202,1.3767177538929953,0.02108083397528832,2.590020146840276,3.3444910802084946,4.167947157397784
T4_A3,765861349,4,3,4.785578521428744,1.1091014896680391,0.04525353063301576,2.5914531875783,3.3147187388395896,4.108255407891107
T4_A3,1375601870,4,3,5.416508275000202,1.159897622216915,0.035842108458349925,2.7177807078612815,3.340233914269689,3.989930664810545
T4_A3,1060218529,4,3,5.154648767857287,1.0746422513615939,0.04206566747698287,2.6232422099062513,3.243614119618737,4.033890731082305
T4_A3,3104841712,4,3,6.785578521428744,1.5494729342385534,0.05234916910516015,2.571350368224475,3.421554190569484,4.169002686266152
T4_A3,275264908,4,3,4.154648767857287,1.4404253279065826,0.035464630782980074,2.7139277281677896,3.598847178093516,4.555204339304779
T4_A3,3795156111,4,3,4.785578521428744,1.468316998363937,0.034459427402546365,2.5158407149879767,3.5291582288638663,4.391610606895742
T4_A3,707760615,4,3,5.785578521428744,1.082042738554288,0.028937100631650402,2.6347894545503157,3.215379487464821,3.995248687665462
T4_A3,3996712912,4,3,7.154648767857287,1.2093421671211018,0.07872927809817988,2.672751679627469,3.5063714730596343,4.324596998606751
T5_A2,1935377987,5,2,7.0,0.8648714153486906,0.03951747289055613,3.3203189501386636,3.917059431242215,4.528008602630968
T5_A2,3792765083,5,2,10.0,1.8854773224694763,0.06417768508366854,2.6437305261201516,3.464015198012653,3.9571807808181294
T5_A2,1988523316,5,2,5.0,2.1537586178202783,0.28576286389086175,2.923551280095923,3.8224920400907316,4.568567371525745
T5_A2,981798049,5,2,8.0,0.8015072826455031,0.043114669880997505,2.7459772063065566,3.2164200231966595,3.7714074770777457
T5_A2,3449724503,5,2,5.0,1.4652964838474416,0.18751762904717945,3.048420232440844,3.9500425377342316,4.866966322503183
T5_A2,1763713698,5,2,5.0,1.3653038052607052,0.03807100031105972,2.896622368793292,3.8392609734085954,4.584371297761188
T5_A2,240224476,5,2,6.0,1.7342163827222754,0.12410010834027617,3.1872860531664546,4.339396806066773,4.998625509909519
T5_A2,3312632289,5,2,4.0,1.7826217286264867,0.06575297586495978,3.0283085620810777,4.29694278783994,5.120154088314138
T5_A2,661215060,5,2,7.0,1.4312078067746523,0.0448352961060478,2.4645385891475677,3.1724363336148036,3.778452700550946
T5_A2,943105452,5,2,8.0,1.6228529704596817,0.03754810384900419,2.9950542894884684,3.938880188289132,4.427521936565306
T5_A2,2800419469,5,2,7.0,1.5503286875715423,0.032725694646084554,3.183032597753544,3.9933516872834507,4.555210806875784
T5_A2,2961123529,5,2,5.0,3.6702756169594255,0.03068109805062676,2.72198882675599,4.077543719442048,4.514636779810862
T5_A2,3541852394,5,2,6.0,1.2748012552766705,0.09630974173519845,2.776146790129288,3.5674137628122513,4.340916357502072
